DATE,DCOILBRENTEU_NBD20001229
2001-04-11,115.50044
2001-04-12,120.10629
2001-04-13,118.68911
2001-04-16,118.68911
2001-04-17,119.53056
2001-04-18,115.63330
2001-04-19,114.52613
2001-04-20,113.24181
2001-04-23,112.57750
2001-04-24,114.08326
2001-04-25,112.88751
2001-04-26,118.29052
2001-04-27,118.91054
2001-04-30,120.50487
2001-05-01,120.94774
2001-05-02,118.77768
2001-05-03,121.61205
2001-05-04,122.18778
2001-05-07,122.71922
2001-05-08,121.56776
2001-05-09,121.61205
2001-05-10,125.19929
2001-05-11,123.87068
2001-05-14,122.98494
2001-05-15,123.47210
2001-05-16,124.84500
2001-05-17,126.52790
2001-05-18,129.76085
2001-05-21,131.97520
2001-05-22,131.62090
2001-05-23,130.69088
2001-05-24,127.76794
2001-05-25,127.05934
2001-05-28,.
2001-05-29,128.91940
2001-05-30,128.07795
2001-05-31,126.43933
2001-06-01,127.81222
2001-06-04,128.21081
2001-06-05,129.53942
2001-06-06,127.23649
2001-06-07,126.43933
2001-06-08,127.90080
2001-06-11,130.95660
2001-06-12,128.56510
2001-06-13,129.00797
2001-06-14,126.21789
2001-06-15,124.57927
2001-06-18,122.27635
2001-06-19,118.15766
2001-06-20,116.20903
2001-06-21,118.24624
2001-06-22,118.95483
2001-06-25,121.16918
2001-06-26,122.49779
2001-06-27,116.25332
2001-06-28,113.72896
2001-06-29,116.07617
2001-07-02,113.95040
2001-07-03,113.19752
2001-07-04,115.01329
2001-07-05,113.77325
2001-07-06,117.58193
2001-07-09,113.33038
2001-07-10,109.34455
2001-07-11,108.23738
2001-07-12,104.60585
2001-07-13,106.37733
2001-07-16,104.42870
2001-07-17,105.84588
2001-07-18,102.30292
2001-07-19,103.41010
2001-07-20,103.76439
2001-07-23,108.23738
2001-07-24,107.92737
2001-07-25,110.27458
2001-07-26,110.45173
2001-07-27,109.92028
2001-07-30,108.32595
2001-07-31,107.83880
2001-08-01,107.30735
2001-08-02,112.88751
2001-08-03,113.37467
2001-08-06,112.44464
2001-08-07,114.88043
2001-08-08,113.41895
2001-08-09,111.95748
2001-08-10,114.17183
2001-08-13,114.61470
2001-08-14,113.86182
2001-08-15,113.41895
2001-08-16,111.51461
2001-08-17,109.30027
2001-08-20,107.83880
2001-08-21,112.31178
2001-08-22,113.86182
2001-08-23,113.64039
2001-08-24,116.60762
2001-08-27,116.12046
2001-08-28,117.18335
2001-08-29,118.11337
2001-08-30,118.24624
2001-08-31,118.68911
2001-09-03,117.44907
2001-09-04,116.34190
2001-09-05,116.34190
2001-09-06,117.84765
2001-09-07,121.96634
2001-09-10,122.18778
2001-09-11,128.96368
2001-09-12,125.06643
2001-09-13,124.88928
2001-09-14,129.40655
2001-09-17,125.42073
2001-09-18,121.96634
2001-09-19,112.66608
2001-09-20,113.24181
2001-09-21,111.47033
2001-09-24,91.36404
2001-09-25,89.14969
2001-09-26,91.54119
2001-09-27,95.08415
2001-09-28,96.85562
2001-10-01,93.97697
2001-10-02,94.28698
2001-10-03,91.36404
2001-10-04,92.73694
2001-10-05,95.03986
2001-10-08,92.60407
2001-10-09,91.45261
2001-10-10,93.09123
2001-10-11,94.68556
2001-10-12,91.09832
2001-10-15,90.16829
2001-10-16,90.65545
2001-10-17,86.22675
2001-10-18,85.07529
2001-10-19,88.17538
2001-10-22,90.25686
2001-10-23,91.05403
2001-10-24,90.21258
2001-10-25,91.54119
2001-10-26,89.94686
2001-10-29,91.00974
2001-10-30,90.38973
2001-10-31,86.93534
2001-11-01,85.87245
2001-11-02,82.50664
2001-11-05,83.17095
2001-11-06,82.55093
2001-11-07,83.52524
2001-11-08,86.53676
2001-11-09,91.76262
2001-11-12,86.27104
2001-11-13,90.65545
2001-11-14,83.17095
2001-11-15,73.11780
2001-11-16,74.66785
2001-11-19,73.29495
2001-11-20,83.34810
2001-11-21,81.66519
2001-11-22,87.02391
2001-11-23,85.91674
2001-11-26,82.63950
2001-11-27,84.54384
2001-11-28,83.30381
2001-11-29,82.10806
2001-11-30,83.79097
2001-12-03,88.57396
2001-12-04,85.38530
2001-12-05,85.34101
2001-12-06,82.24092
2001-12-07,78.87511
2001-12-10,79.84942
2001-12-11,77.98937
2001-12-12,80.29229
2001-12-13,78.83082
2001-12-14,82.10806
2001-12-17,82.28521
2001-12-18,81.97520
2001-12-19,84.27812
2001-12-20,83.56953
2001-12-21,82.94951
2001-12-24,82.59522
2001-12-25,.
2001-12-26,.
2001-12-27,83.56953
2001-12-28,87.55536
2001-12-31,85.69531
2002-01-01,.
2002-01-02,89.14969
2002-01-03,90.65545
2002-01-04,93.88840
2002-01-07,93.35695
2002-01-08,93.13552
2002-01-09,89.50399
2002-01-10,87.28964
2002-01-11,88.92826
2002-01-14,83.65810
2002-01-15,83.52524
2002-01-16,81.93091
2002-01-17,80.60230
2002-01-18,80.46944
2002-01-21,81.13375
2002-01-22,82.81665
2002-01-23,83.65810
2002-01-24,83.74668
2002-01-25,84.32241
2002-01-28,87.42250
2002-01-29,85.29672
2002-01-30,82.86094
2002-01-31,84.45527
2002-02-01,87.24535
2002-02-04,89.72542
2002-02-05,88.13109
2002-02-06,88.44110
2002-02-07,86.00531
2002-02-08,88.61825
2002-02-11,88.92826
2002-02-12,96.32418
2002-02-13,94.81842
2002-02-14,92.86980
2002-02-15,91.93977
2002-02-18,89.10540
2002-02-19,89.37112
2002-02-20,86.09389
2002-02-21,89.50399
2002-02-22,89.19398
2002-02-25,87.59965
2002-02-26,88.35252
2002-02-27,91.80691
2002-02-28,91.80691
2002-03-01,96.67848
2002-03-04,95.61559
2002-03-05,98.53853
2002-03-06,97.91851
2002-03-07,102.30292
2002-03-08,98.84854
2002-03-11,102.48007
2002-03-12,100.53144
2002-03-13,104.51727
2002-03-14,105.22586
